"id","dept_id","username","password_hash","email","phone","avatar","status","roles","create_time","update_time"
"1","1","Jiang Xia","$argon2id$v=19$m=19456,t=2,p=1$LomVBX4usJmWhZ88+ccvLg$lHIVM1/ZrFYApopwjCP3Rtr0N9duKz4ubXWuqQz/LIA","jiang@qq.com","177","normal","active","{2}","2025-01-08 09:01:47.999355+08","2025-01-08 09:01:47.999355+08"
"2","1","Jia Chen","$argon2id$v=19$m=19456,t=2,p=1$GW5J04TOhU4qcnAnNPKjmw$IhpkjmzTX38P3yBosPylltwwEfkN32EfZCmWFi6TBak","jia@qq.com","189","normal","active","{2}","2025-01-08 09:02:42.814612+08","2025-01-08 09:02:42.814612+08"
"3","3","Hui Wang","$argon2id$v=19$m=19456,t=2,p=1$1g3TArVlGhXqQTrT1SDppA$xvE0w4aWkq7cfgBMsCqrBbqvjU66pXELOn6JBHIXHik","hui@qq.com","156","normal","active","{1}","2025-01-08 09:03:07.411531+08","2025-01-08 09:03:07.411531+08"
"4","3","Qing Zhang","$argon2id$v=19$m=19456,t=2,p=1$MJque5N3fDL8fpZdaudZ/w$Mv5l2sqy7lVIngyhSVTEAu1I8BVR1FVDcg1xvWhgCwo","qing@qq.com","189","normal","active","{1}","2025-01-08 09:03:39.920373+08","2025-01-08 09:03:39.920373+08"
"5","1","Qian Xiong","$argon2id$v=19$m=19456,t=2,p=1$k6PrDIchimhzHDFggON9lA$/SINdji63MSQSrQPr1z+HVumLUF1jq3w99XfAB9FvLw","qian@qq.com","136","normal","active","{1}","2025-01-08 09:04:02.177384+08","2025-01-08 09:04:02.177384+08"
"6","1","Fei Hu","$argon2id$v=19$m=19456,t=2,p=1$y8QmkiUjeL1K3o8jWnyv5g$7tMyMAl6nSYfwOvZyTjv/D9Ouzoetkr4wW/ww2vBaEI","fei@qq.com","158","normal","active","{2}","2025-01-08 09:04:27.588098+08","2025-01-08 09:04:27.588098+08"
"7","2","Yao Ren","$argon2id$v=19$m=19456,t=2,p=1$oAIRu1oy1biSVlJQWSAZsw$K68C+SrjP7aBwFa+dkPZxV5UDrEBkVkQ8/h7f5Z8CKI","yao@qq.com","18781795507","color","active","{3}","2025-01-08 09:05:46.469037+08","2025-01-08 09:05:46.469037+08"
"8","1","Hong Han","$argon2id$v=19$m=19456,t=2,p=1$uHoIw3mRI+9s2Q48gV7p0A$BNx1a4rClhVSWp1+Hx7v6SvSTFKDybFistw+gPhbs8E","hong@qq.com","136","normal","active","{1}","2025-01-08 09:00:43.475192+08","2025-01-08 20:55:34.695671+08"
"9","2","Yao Y","$argon2id$v=19$m=19456,t=2,p=1$Xls668Z2t1axrpDs/OZXGQ$tKayYFbIfKc5+7QZEjngm2NapvLNByS/5Hg9OhC4oGM","elixy@qq.com","123456789","default","active","{1,2,3}","2025-01-07 22:04:41.848937+08","2025-01-08 20:59:26.650262+08"
"15","3","Long Cheng","$argon2id$v=19$m=19456,t=2,p=1$Cnj2IM62mPhDdBibDqrTBw$lJOBWg56s871/7i7a5nBj1/5kS4CSjNEfYqL8LHDJx0","long@qq.com","156","default","active","{1}","2025-01-08 09:01:24.207231+08","2025-01-08 20:59:34.9513+08"
"10","1","Shuang Gou","$argon2id$v=19$m=19456,t=2,p=1$SPopEBkxWANISbmBgzCBng$KvpKq2tM1kpN38j5QlP0xJPs+guPPm3asQde5MFuIZ4","shuang@qq.com","158","normal","active","{2}","2025-01-08 09:02:09.445085+08","2025-01-08 20:59:37.350722+08"
